Original,Replacement,SourceFile,ColumnName,Type
47.45,98.91,Europe Sales Records.csv,Unit Price,numeric
109.28,497.03,Europe Sales Records.csv,Unit Price,numeric
205.7,296.6,Europe Sales Records.csv,Unit Price,numeric
651.21,351.42,Europe Sales Records.csv,Unit Price,numeric
9.33,6.55,Europe Sales Records.csv,Unit Price,numeric
154.06,350.39,Europe Sales Records.csv,Unit Price,numeric
421.89,207.85,Europe Sales Records.csv,Unit Price,numeric
152.58,589.3,Europe Sales Records.csv,Unit Price,numeric
255.28,488.99,Europe Sales Records.csv,Unit Price,numeric
668.27,416.32,Europe Sales Records.csv,Unit Price,numeric
437.2,315.7,Europe Sales Records.csv,Unit Price,numeric
81.73,17.33,Europe Sales Records.csv,Unit Price,numeric
31.79,32.29,Europe Sales Records.csv,Unit Cost,numeric
35.84,79.07,Europe Sales Records.csv,Unit Cost,numeric
117.11,479.07,Europe Sales Records.csv,Unit Cost,numeric
524.96,847.75,Europe Sales Records.csv,Unit Cost,numeric
6.92,2.44,Europe Sales Records.csv,Unit Cost,numeric
90.93,36.22,Europe Sales Records.csv,Unit Cost,numeric
364.69,611.41,Europe Sales Records.csv,Unit Cost,numeric
97.44,72.97,Europe Sales Records.csv,Unit Cost,numeric
159.42,248.99,Europe Sales Records.csv,Unit Cost,numeric
502.54,875.38,Europe Sales Records.csv,Unit Cost,numeric
263.33,918.37,Europe Sales Records.csv,Unit Cost,numeric
56.67,26.41,Europe Sales Records.csv,Unit Cost,numeric
226716.1,647216.9,Europe Sales Records.csv,Total Revenue,numeric
101302.56,153666.05,Europe Sales Records.csv,Total Revenue,numeric
1155211.2,3129546.2,Europe Sales Records.csv,Total Revenue,numeric
4080481.86,8887112.14,Europe Sales Records.csv,Total Revenue,numeric
46258.14,36846.12,Europe Sales Records.csv,Total Revenue,numeric
12968.7,75323.0,Europe Sales Records.csv,Total Revenue,numeric
1855825.4,2217615.0,Europe Sales Records.csv,Total Revenue,numeric
1123251.46,1344387.4,Europe Sales Records.csv,Total Revenue,numeric
784715.4,149397.5,Europe Sales Records.csv,Total Revenue,numeric
359718.45,986611.86,Europe Sales Records.csv,Total Revenue,numeric
763662.9,487943.5,Europe Sales Records.csv,Total Revenue,numeric
4496605.05,2035313.51,Europe Sales Records.csv,Total Revenue,numeric
135553.68,505598.02,Europe Sales Records.csv,Total Revenue,numeric
808341.24,734737.23,Europe Sales Records.csv,Total Revenue,numeric
48115.44,99617.76,Europe Sales Records.csv,Total Revenue,numeric
3442075.6,5150000.1,Europe Sales Records.csv,Total Revenue,numeric
2620358.79,1573249.44,Europe Sales Records.csv,Total Revenue,numeric
3755664.78,6976148.27,Europe Sales Records.csv,Total Revenue,numeric
46406.1,40817.7,Europe Sales Records.csv,Total Revenue,numeric
6483446.76,1387933.4,Europe Sales Records.csv,Total Revenue,numeric
604784.35,553897.18,Europe Sales Records.csv,Total Revenue,numeric
60333.6,59037.6,Europe Sales Records.csv,Total Revenue,numeric
248732.9,353161.1,Europe Sales Records.csv,Total Revenue,numeric
60113.19,81837.45,Europe Sales Records.csv,Total Revenue,numeric
1177480.58,6646582.94,Europe Sales Records.csv,Total Revenue,numeric
814602.91,767421.61,Europe Sales Records.csv,Total Revenue,numeric
43123.26,65208.26,Europe Sales Records.csv,Total Revenue,numeric
5740416.15,2130629.38,Europe Sales Records.csv,Total Revenue,numeric
450250.57,888772.76,Europe Sales Records.csv,Total Revenue,numeric
657986,310777.0,Europe Sales Records.csv,Total Revenue,numeric
133705,900429.0,Europe Sales Records.csv,Total Revenue,numeric
145713.9,658605.7,Europe Sales Records.csv,Total Revenue,numeric
354901.08,464387.07,Europe Sales Records.csv,Total Revenue,numeric
82719.78,24070.06,Europe Sales Records.csv,Total Revenue,numeric
186910.5,866093.2,Europe Sales Records.csv,Total Revenue,numeric
