Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Czech Republic,STBZQKASF,Offline,C,9/12/2011,478051030,9/29/2011,4778,68.74,89.25,858800.9,540678.61,73487.0
Europe,Bosnia and Herzegovina,JTSBQPV,Online,M,10/14/2013,919133651,11/4/2013,927,400.68,75.97,943787.53,92542.21,86519.05
Europe,Austria,BNBVXP,Offline,C,8/13/2014,987410676,9/6/2014,5616,970.5,981.46,9344230.3,761147.74,858720.29
Europe,Bulgaria,BKXKLU DDPSOJWD,Online,L,10/31/2010,672330081,11/29/2010,6266,458.83,555.36,7279950.77,6706745.38,157949.5
Europe,Estonia,SMSUAK,Online,L,9/28/2016,579463422,11/1/2016,4958,7.6,2.21,85550.54,81693.87,53901.77
Europe,Montenegro,SMSUAK,Offline,L,5/29/2016,313705861,7/10/2016,1390,7.6,2.21,50149.9,9713.6,2104.2
Europe,Czech Republic,BNBVXP,Online,M,7/8/2011,552037513,8/5/2011,9022,970.5,981.46,8163606.6,4245024.34,764174.37
Europe,Luxembourg,ZNVGEIJCUP,Offline,L,2/13/2010,744683635,4/1/2010,7291,154.06,74.0,9954965.04,762273.75,690166.54
Europe,Switzerland,NJDZ,Online,L,3/21/2014,169378983,4/10/2014,1860,829.4,620.06,256153.1,131129.2,527749.0
Europe,Finland,STBZQKASF,Online,H,3/16/2012,566428315,3/23/2012,7581,68.74,89.25,488976.0,427846.67,918322.66
Europe,Belgium,KYUTZQ,Online,M,1/12/2015,519380223,1/17/2015,5005,292.81,88.89,421319.3,820474.2,897861.4
Europe,San Marino,BKXKLU DDPSOJWD,Online,H,4/13/2014,904589211,5/4/2014,6905,458.83,555.36,4496605.05,6311663.2,350099.91
Europe,Bosnia and Herzegovina,YVOW ABYK,Online,C,4/4/2015,184412229,4/7/2015,531,194.89,609.6,925579.87,84652.02,68404.67
Europe,Netherlands,NJDZ,Offline,M,3/8/2017,747774398,4/3/2017,1916,829.4,620.06,184652.04,698746.04,821447.5
